i-0c7031b7c76dbb47d	172.20.29.250
i-0fd0e4b678f0333dd	172.20.23.121
i-09425d648f68467fa	172.20.23.189
i-073d31914c6ec1f65	172.20.27.76
i-0a7fb729b4e455938	172.20.27.193
i-06c6b76381a8a52c8	172.20.29.144
i-0f298beb70977cb75	172.20.28.227
i-03ef214b127e3f75b	172.20.19.97
i-06ae3a0bf99e249ac	172.20.22.75
i-02f5f6099b96131a8	172.20.20.143
i-081b522670a1ee911	172.20.22.35
i-0918c58fe1ce5fd0b	172.20.27.104
i-0672a9e3391728a88	172.20.24.15
i-0d716dfdb81609823	172.20.19.0
i-03f6a1677bca6cfa4	172.20.23.6
i-042357c77c6060cc3	172.20.17.211
i-01853986a9b665d1e	172.20.24.227
i-0d0328f8d6d4dd18f	172.20.29.132
i-04f1595195ebba569	172.20.26.8
i-05560bd75fd938746	172.20.31.67
i-0197c7578978bc25f	172.20.30.74
i-0cf516f440243bd38	172.20.29.102
i-054b12ee6e61924c8	172.20.29.21
i-014130852a3cc4bec	172.20.19.50
i-09c14f7c89b10cd9b	172.20.24.145
i-0750583c9a6861cc1	172.20.25.212
i-0fc99be4a90ac0698	172.20.17.85
